"","Sample","Date","Time","Counted.by","Site"
"1",1,"02/01/2019","08:00","Lorna","Primary sump"
"2",1,"02/01/2019","08:00","Lorna","Primary sump"
"3",1,"02/01/2019","08:00","Lorna","Primary sump"
"4",1,"02/01/2019","08:00","Lorna","Primary sump"
"5",1,"02/01/2019","08:00","Lorna","Primary sump"
"6",1,"02/01/2019","08:00","Lorna","Primary sump"
"7",1,"02/01/2019","08:00","Lorna","Primary sump"
"8",1,"02/01/2019","08:00","Lorna","Primary sump"
"9",2,"02/01/2019","16:21","Lorna","Primary sump"
"10",2,"02/01/2019","16:21","Lorna","Primary sump"
"11",2,"02/01/2019","16:21","Lorna","Primary sump"
"12",2,"02/01/2019","16:21","Lorna","Primary sump"
"13",2,"02/01/2019","16:21","Lorna","Primary sump"
"14",2,"02/01/2019","16:21","Lorna","Primary sump"
"15",2,"02/01/2019","16:21","Lorna","Primary sump"
"16",2,"02/01/2019","16:21","Lorna","Primary sump"
"17",2,"02/01/2019","16:21","Lorna","Primary sump"
"18",2,"02/01/2019","16:21","Lorna","Primary sump"
"19",2,"02/01/2019","16:21","Lorna","Primary sump"
"20",3,"03/01/2019","08:00","Lorna","Primary sump"
"21",3,"03/01/2019","08:00","Lorna","Primary sump"
"22",3,"03/01/2019","08:00","Lorna","Primary sump"
"23",3,"03/01/2019","08:00","Lorna","Primary sump"
"24",3,"03/01/2019","08:00","Lorna","Primary sump"
"25",3,"03/01/2019","08:00","Lorna","Primary sump"
"26",3,"03/01/2019","08:00","Lorna","Primary sump"
"27",4,"04/01/2019","08:00","Lorna","Primary sump"
"28",4,"04/01/2019","08:00","Lorna","Primary sump"
"29",4,"04/01/2019","08:00","Lorna","Primary sump"
"30",4,"04/01/2019","08:00","Lorna","Primary sump"
"31",4,"04/01/2019","08:00","Lorna","Primary sump"
"32",4,"04/01/2019","08:00","Lorna","Primary sump"
"33",5,"07/01/2019","08:00","Lorna","Primary sump"
"34",5,"07/01/2019","08:00","Lorna","Primary sump"
"35",5,"07/01/2019","08:00","Lorna","Primary sump"
"36",5,"07/01/2019","08:00","Lorna","Primary sump"
"37",5,"07/01/2019","08:00","Lorna","Primary sump"
"38",5,"07/01/2019","08:00","Lorna","Primary sump"
"39",5,"07/01/2019","08:00","Lorna","Primary sump"
"40",5,"07/01/2019","08:00","Lorna","Primary sump"
