Date,Time,Counted by:,Site,Volume Filtered (ml),Frames counted,Volume counted,Species, Cells Counted , Cells/L ,,Yellow_block,RG_meth,SRC_method
29/01/2018,08:40:00,Nuette,Primary Sump,4500,130,0.13,Pseudo-nitzschia australis australis,8,14,62,341.8803419,44.44444444,598.2905983
29/01/2018,08:40:00,Nuette,Primary Sump,4500,130,0.13,Chaetocerus sp.,7,12,54,299.1452991,38.88888889,512.8205128
29/01/2018,08:40:00,Nuette,Primary Sump,4500,130,0.13,Protoperidiium conicum,5,9,38,213.6752137,27.77777778,384.6153846
29/01/2018,08:40:00,Nuette,Primary Sump,4500,130,0.13,Ceratium fusus,3,5,23,128.2051282,16.66666667,213.6752137
29/01/2018,08:40:00,Nuette,Primary Sump,4500,130,0.13,Ceratium furca,1,2,8,42.73504274,5.555555556,85.47008547
05/06/2019,11:00:00,Pertunia,Primary sump,5000,125,0.125,Bacillaria sp.,109,174,872,4360,545,6960
05/06/2019,11:00:00,Pertunia,Primary sump,5000,125,0.125,Cyst,69,110,552,2760,345,4400
06/06/2019,12:00:00,Pertunia,Primary sump,5000,125,0.125,Coscinodiscus Granii,9,14,72,360,45,560
06/06/2019,12:00:00,Pertunia,Primary sump,5000,125,0.125,Cyst,7,11,56,280,35,440
06/06/2019,12:00:00,Pertunia,Primary sump,5000,125,0.125,Prorocentrum minimum,6,10,48,240,30,400
06/06/2019,12:00:00,Pertunia,Primary sump,5000,125,0.125,Lycmophora sp.,4,6,32,160,20,240
05/06/2019,11:00:00,Pertunia,Primary sump,5000,125,0.125,Noctiluca Scintillans,3,5,24,120,15,200
05/06/2019,11:00:00,Pertunia,Primary sump,5000,125,0.125,Triceratium,3,5,24,120,15,200
06/06/2019,12:00:00,Pertunia,Primary sump,5000,125,0.125,Closterium navicula,2,3,16,80,10,120
05/06/2019,11:00:00,Pertunia,Primary sump,5000,125,0.125,Ceratium furca,1,2,8,40,5,80
05/06/2019,11:00:00,Pertunia,Primary sump,5000,125,0.125,Coscinodiscus Granii,1,2,8,40,5,80
05/06/2019,11:00:00,Pertunia,Primary sump,5000,125,0.125,Pleurosigma,1,2,8,40,5,80
06/06/2019,12:00:00,Pertunia,Primary sump,5000,125,0.125,Rhizosolenia sp.,1,2,8,40,5,80
06/06/2019,12:00:00,Pertunia,Primary sump,5000,125,0.125,Ceratium furca,1,2,8,40,5,80
06/06/2019,12:00:00,Pertunia,Primary sump,5000,125,0.125,Prorocentrum micans,1,2,8,40,5,80
06/06/2019,12:00:00,Pertunia,Primary sump,5000,125,0.125,Bacillaria sp.,1,2,8,40,5,80
01/02/2018,14:00:00,Nuette,Primary Sump,5000,90,0.09,Chaetocerus sp.,54,120,600,3000,270,6666.666667
01/02/2018,14:00:00,Nuette,Primary Sump,5000,90,0.09,Ceratium fusus,48,107,533,2666.666667,240,5944.444444
01/02/2018,14:00:00,Nuette,Primary Sump,5000,90,0.09,Skeletonema,20,44,222,1111.111111,100,2444.444444
01/02/2018,14:00:00,Nuette,Primary Sump,5000,90,0.09,Ceratium furca,14,31,156,777.7777778,70,1722.222222
01/02/2018,14:00:00,Nuette,Primary Sump,5000,90,0.09,Protoperidiium conicum,12,27,133,666.6666667,60,1500
01/02/2018,14:00:00,Nuette,Primary Sump,5000,90,0.09,Centric Diatoms,11,24,122,611.1111111,55,1333.333333
01/02/2018,14:00:00,Nuette,Primary Sump,5000,90,0.09,Ceratium tripos,1,2,11,55.55555556,5,111.1111111
01/02/2018,14:00:00,Nuette,Primary Sump,5000,90,0.09,Gonyaulax polygramma,1,2,11,55.55555556,5,111.1111111
02/02/2018,08:00:00,Nuette,Primary Sump,5000,80,0.08,Chaetocerus sp.,55,138,688,3437.5,275,8625
02/02/2018,08:00:00,Nuette,Primary Sump,5000,80,0.08,Astrionellaposis,20,50,250,1250,100,3125
02/02/2018,08:00:00,Nuette,Primary Sump,5000,80,0.08,Ceratium fusus,16,40,200,1000,80,2500
02/02/2018,08:00:00,Nuette,Primary Sump,5000,80,0.08,Pseudo-nitzschia australis australis,7,18,88,437.5,35,1125
02/02/2018,08:00:00,Nuette,Primary Sump,5000,80,0.08,Protoperidiium conicum,5,13,63,312.5,25,812.5
02/02/2018,08:00:00,Nuette,Primary Sump,5000,80,0.08,Ceratium furca,4,10,50,250,20,625
02/02/2018,08:00:00,Nuette,Primary Sump,5000,80,0.08,Lingulodium polyedrum,4,10,50,250,20,625
02/02/2018,08:00:00,Nuette,Primary Sump,5000,80,0.08,Rhizosolenia,4,10,50,250,20,625
02/02/2018,08:00:00,Nuette,Primary Sump,5000,80,0.08,Skeletonema,4,10,50,250,20,625
27/01/2018,08:00:00,Nuette,Primary Sump,4000,65,0.065,Ceratium fusus,13,50,200,1250,81.25,4807.692308
27/01/2018,08:00:00,Nuette,Primary Sump,4000,65,0.065,Pseudo-nitzschia australis australis,7,27,108,673.0769231,43.75,2596.153846
27/01/2018,08:00:00,Nuette,Primary Sump,4000,65,0.065,Ceratium furca,6,23,92,576.9230769,37.5,2211.538462
