Sample,Date,Time,Counted by:,Site,Weather,DO (mg/L),Saturation (%),Temperature (⁰C),Volume Filtered (ml),Frames counted,Volume counted,Species,Classification,Cells Counted,Cells/L
,03/01/2017,08:00,Lorna,Primary sump,Windy,,,17.5,5000,21,0.021,Chaetoceros sp.,,2,19.04761905
,03/01/2017,08:00,Lorna,Primary sump,Windy,,,17.5,5000,21,0.021,Rhizosolenia sp.,,3,28.57142857
,03/01/2017,08:00,Lorna,Primary sump,Windy,,,17.5,5000,21,0.021,Ceratium furca,,7,66.66666667
,03/01/2017,08:00,Lorna,Primary sump,Windy,,,17.5,5000,21,0.021,Ceratium tripos,,2,19.04761905
,03/01/2017,08:00,Lorna,Primary sump,Windy,,,17.5,5000,21,0.021,Protoperidinium conicum,,5,47.61904762
,03/01/2017,08:00,Lorna,Primary sump,Windy,,,17.5,5000,21,0.021,Protoperidinium diabolum,,5,47.61904762
,03/01/2017,08:00,Lorna,Primary sump,Windy,,,17.5,5000,21,0.021,Prorocentrum sigmoides,,2,19.04761905
,03/01/2017,08:00,Lorna,Primary sump,Windy,,,17.5,5000,21,0.021,Pyrophacus sp.,,4,38.0952381
,04/01/2017,08:00,Lorna,Primary sump,Windy,,,14.1,5000,20,0.02,Pseudo-nitzschia australis,,1,10
,04/01/2017,08:00,Lorna,Primary sump,Windy,,,14.1,5000,20,0.02,Chaetoceros sp.,,1,10
,04/01/2017,08:00,Lorna,Primary sump,Windy,,,14.1,5000,20,0.02,Ceratium furca,,8,80
,04/01/2017,08:00,Lorna,Primary sump,Windy,,,14.1,5000,20,0.02,Protoperidinium conicum,,4,40
,04/01/2017,08:00,Lorna,Primary sump,Windy,,,14.1,5000,20,0.02,Protoperidinium diabolum,,4,40
,04/01/2017,08:00,Lorna,Primary sump,Windy,,,14.1,5000,20,0.02,Pyrophacus sp.,,4,40
,04/01/2017,08:00,Lorna,Primary sump,Windy,,,14.1,5000,20,0.02,Protoperidinium pellucidum,,2,20
,04/01/2017,08:00,Lorna,Primary sump,Windy,,,14.1,5000,20,0.02,Protoperidinium oceanicum,,3,30
,05/01/2017,08:00,Lorna,Primary sump,Cloudy,,,12.2,5000,19,0.019,Chaetoceros sp.,,1,10.52631579
,05/01/2017,08:00,Lorna,Primary sump,Cloudy,,,12.2,5000,19,0.019,Ceratium furca,,6,63.15789474
,05/01/2017,08:00,Lorna,Primary sump,Cloudy,,,12.2,5000,19,0.019,Ceratium tripos,,2,21.05263158
,05/01/2017,08:00,Lorna,Primary sump,Cloudy,,,12.2,5000,19,0.019,Gonyaulax polygramma,,28,294.7368421
,05/01/2017,08:00,Lorna,Primary sump,Cloudy,,,12.2,5000,19,0.019,Protoperidinium conicum,,7,73.68421053
,05/01/2017,08:00,Lorna,Primary sump,Cloudy,,,12.2,5000,19,0.019,Protoperidinium diabolum,,4,42.10526316
,05/01/2017,08:00,Lorna,Primary sump,Cloudy,,,12.2,5000,19,0.019,Prorocentrum sigmoides,,1,10.52631579
