,Sample,Date,Time,Counted.by.,Site,Weather,DO..mg.L.,Saturation....,Temperature..â..C.,Volume.Filtered..ml.,Frames.counted,Volume.counted,Species,Classification,Cells.Counted,Cells.L
7,NA,2017/03/20,08:00,Lorna,Primary sump,Sunny,,NA,13.7,5000,1,0.001,Alexandrium sp.,Dinoflagellate,2,400
8,NA,2017/12/22,08:00,Pertunia,Primary sump,Cloudy,,NA,12.1,5000,1,0.001,Alexandrium sp.,Dinoflagellate,1,200
9,NA,2018/01/11,08:00,Pertunia,Primary sump,Sunny,,NA,16.5,5000,1,0.001,Alexandrium sp.,Dinoflagellate,1,200
10,NA,2018/03/09,08:00,Lorna,Primary sump,Sunny,,NA,NA,5000,1,0.001,Alexandrium sp.,Dinoflagellate,5,1000
33,NA,2018/01/24,08:00,Pertunia,Primary sump,Sunny,,NA,NA,5000,1,0.001,Asterionellopsis glacialis,Diatom,1,200
34,NA,2018/01/25,08:00,Lorna,Primary sump,Sunny,,NA,NA,5000,1,0.001,Asterionellopsis glacialis,Diatom,1,200
178,NA,2018/01/19,08:00,Pertunia,Primary sump,Rainy,,NA,11.4,5000,1,0.001,Ceratium dens,Dinoflagellate,1,200
179,NA,2018/04/20,08:00,Lorna,Primary sump,Cloudy,,NA,NA,5000,1,0.001,Ceratium dens,Dinoflagellate,7,1400
180,NA,2018/04/23,08:00,Lorna,Primary sump,Sunny,,NA,NA,5000,1,0.001,Ceratium dens,Dinoflagellate,2,400
181,NA,2018/04/23,08:00,Lorna,Primary sump,Sunny,,NA,NA,5000,1,0.001,Ceratium dens,Dinoflagellate,4,800
182,NA,2018/04/24,08:00,Lorna,Primary sump,Clear,,NA,NA,5000,1,0.001,Ceratium dens,Dinoflagellate,2,400
183,NA,2018/04/26,08:00,Lorna,Primary sump,Rainy,,NA,NA,5000,1,0.001,Ceratium dens,Dinoflagellate,3,600
261,NA,2017/02/28,08:00,Lorna,Primary sump,Clear,,NA,12.8,5000,1,0.001,Ceratium furca,Dinoflagellate,2,400
262,NA,2017/03/02,08:00,Lorna,Primary sump,Sunny,,NA,14.6,5000,1,0.001,Ceratium furca,Dinoflagellate,21,4200
263,NA,2017/03/03,08:00,Lorna,Primary sump,Sunny,,NA,15.9,5000,1,0.001,Ceratium furca,Dinoflagellate,45,9000
264,NA,2017/03/06,08:00,Lorna,Primary sump,Sunny,,NA,17.7,5000,1,0.001,Ceratium furca,Dinoflagellate,4,800
265,NA,2017/03/07,08:00,Lorna,Primary sump,Sunny,,NA,17.1,5000,1,0.001,Ceratium furca,Dinoflagellate,5,1000
266,NA,2017/03/08,08:00,Lorna,Primary sump,Clear,,NA,17,5000,1,0.001,Ceratium furca,Dinoflagellate,43,8600
267,NA,2017/03/09,08:00,Lorna,Primary sump,Cloudy,,NA,16.4,5000,1,0.001,Ceratium furca,Dinoflagellate,19,3800
268,NA,2017/03/10,08:00,Lorna,Primary sump,,,NA,11.8,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
269,NA,2017/03/13,08:00,Lorna,Primary sump,Sunny,,NA,12.7,5000,1,0.001,Ceratium furca,Dinoflagellate,3,600
270,NA,2017/03/14,08:00,Lorna,Primary sump,Cloudy,,NA,11.3,5000,1,0.001,Ceratium furca,Dinoflagellate,5,1000
271,NA,2017/03/16,08:00,Lorna,Primary sump,Sunny,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,7,1400
272,NA,2017/03/17,08:00,Lorna,Primary sump,Sunny,,NA,NA,5000,1,0.001,Ceratium furca,Dinoflagellate,5,1000
273,NA,2017/03/22,08:00,Lorna,Primary sump,Sunny,,NA,15,5000,1,0.001,Ceratium furca,Dinoflagellate,12,2400
274,NA,2017/03/23,08:00,Lorna,Primary sump,Cloudy,,NA,12.1,5000,1,0.001,Ceratium furca,Dinoflagellate,22,4400
275,NA,2017/03/24,08:00,Lorna,Primary sump,Cloudy,,NA,14.7,5000,1,0.001,Ceratium furca,Dinoflagellate,3,600
276,NA,2017/03/27,08:00,Lorna,Primary sump,Cloudy,,NA,13.7,5000,1,0.001,Ceratium furca,Dinoflagellate,1,200
277,NA,2017/03/28,08:00,Lorna,Primary sump,Cloudy,,NA,14.4,5000,1,0.001,Ceratium furca,Dinoflagellate,5,1000
278,NA,2017/03/30,08:00,Lorna,Primary sump,Sunny,,NA,14.2,5000,1,0.001,Ceratium furca,Dinoflagellate,36,7200
279,NA,2017/04/03,08:00,Lorna,Primary sump,Cloudy,,NA,17.4,5000,1,0.001,Ceratium furca,Dinoflagellate,2,400
280,NA,2017/04/04,08:00,Lorna,Primary sump,Cloudy,,NA,18.6,5000,1,0.001,Ceratium furca,Dinoflagellate,7,1400
281,NA,2017/04/05,08:00,Lorna,Primary sump,Windy,,NA,18.8,5000,1,0.001,Ceratium furca,Dinoflagellate,7,1400
