Sample,Species,Classification,Threat,Cells Counted ,Frames counted,Total Count
19,Alexandrium,Dinoflagellate,, 52 ,20,2600
20,Alexandrium,Dinoflagellate,, 52 ,20,2600
21,Alexandrium,Dinoflagellate,, 23 ,20,1150
1311,Alexandrium,Dinoflagellate,,1,32,156
1313,Alexandrium,Dinoflagellate,,1,20,250
1278,Alexandrium carterae,Dinoflagellate,,1,150,33
1279,Alexandrium catanella,Dinoflagellate,,1,100,50
1280,Amphidinium carterae,Dinoflagellate,,1,100,50
1282,Amphidinium carterae,Dinoflagellate,,1,150,33
1297,Amphidinium carterae,Dinoflagellate,,1,50,100
1305,Amphidinium carterae,Dinoflagellate,,1,35,143
1324,Amphidinium carterae,Dinoflagellate,,2,43,233
1258,Amylax triacantha,Dinoflagellate,,1,200,25
1266,Amylax triacantha,Dinoflagellate,,1,200,25
1280,Amylax triacantha,Dinoflagellate,,1,100,50
214,Asterionellopsis glacialis,Diatom,, 1 ,20,50
1235,Asterionellopsis glacialis,Diatom,,4,40,100
1243,Asterionellopsis glacialis,Diatom,,1,100,10
1247,Asterionellopsis glacialis,Diatom,,1,328,3
1266,Asterionellopsis glacialis,Diatom,,1,200,25
1269,Asterionellopsis glacialis,Diatom,,1,150,33
1272,Asterionellopsis glacialis,Diatom,,3,110,136
1275,Asterionellopsis glacialis,Diatom,,4,110,182
1276,Asterionellopsis glacialis,Diatom,,1,150,33
1282,Asterionellopsis glacialis,Diatom,,3,150,100
1290,Asterionellopsis glacialis,Diatom,,1,100,50
1296,Asterionellopsis glacialis,Diatom,,2,48,208
1299,Asterionellopsis glacialis,Diatom,,1,43,116
1300,Asterionellopsis glacialis,Diatom,,1,43,116
1301,Asterionellopsis glacialis,Diatom,,1,42,119
1305,Asterionellopsis glacialis,Diatom,,4,35,571
1306,Asterionellopsis glacialis,Diatom,,17,52,1635
1307,Asterionellopsis glacialis,Diatom,,7,57,614
1308,Asterionellopsis glacialis,Diatom,,110,50,11000
1309,Asterionellopsis glacialis,Diatom,,105,50,10500
1310,Asterionellopsis glacialis,Diatom,,146,54,13519
1311,Asterionellopsis glacialis,Diatom,,62,32,9688
1313,Asterionellopsis glacialis,Diatom,,43,20,10750
1315,Asterionellopsis glacialis,Diatom,,77,72,5347
1317,Asterionellopsis glacialis,Diatom,,15,53,1415
1321,Asterionellopsis glacialis,Diatom,,2,47,213
1322,Asterionellopsis glacialis,Diatom,,2,39,256
1323,Asterionellopsis glacialis,Diatom,,1,36,139
1325,Asterionellopsis glacialis,Diatom,,5,47,532
1331,Asterionellopsis glacialis,Diatom,,2,67,149
1188,Bacillaria,Diatom,,1,20,250
1192,Bacillaria,Diatom,,3,20,750
1194,Bacillaria,Diatom,,7,20,1750
1199,Bacillaria,Diatom,,109,125,4360
1200,Bacillaria,Diatom,,1,125,40
1202,Bacillaria,Diatom,,2,63,159
1203,Bacillaria,Diatom,,1,45,111
1217,Bacillaria,Diatom,,1,20,250
1219,Bacillaria,Diatom,,9,20,2250
1220,Bacillaria,Diatom,,3,20,750
1222,Bacillaria,Diatom,,4,20,1000
1229,Bacillaria,Diatom,,3,40,375
1241,Bacillaria,Diatom,,4,100,40
1280,Bacillaria,Diatom,,1,100,50
1291,Bacillaria,Diatom,,2,50,200
1292,Bacillaria,Diatom,,3,33,455
1294,Bacillaria,Diatom,,1,49,102
1295,Bacillaria,Diatom,,1,39,128
1296,Bacillaria,Diatom,,2,48,208
1297,Bacillaria,Diatom,,4,50,400
1298,Bacillaria,Diatom,,3,23,652
1299,Bacillaria,Diatom,,2,43,233
1300,Bacillaria,Diatom,,6,43,698
