"","Sample","Date","Time","Counted.by","Site","DO..mg.L.","Saturation....","Temperature...C.","N","NH3.N","NH4.N","pH","NO2","PO4","X","Species","Classification","Threat","Cells.Counted","Frames.counted","Total.Count"
"1",1,"02/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium tripos","Dinoflagellate",""," 1 ",20,50
"2",1,"02/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate",""," 2 ",20,100
"3",1,"02/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 1 ",20,50
"4",1,"02/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 2 ",20,100
"5",1,"02/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhizosolenia","Diatom",""," 1 ",20,50
"6",1,"02/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate",""," 2 ",20,100
"7",1,"02/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chaetoceros","Diatom",""," 2 ",20,100
"8",2,"02/01/2019","16:21:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chaetoceros","Diatom",""," 6 ",20,300
"9",2,"02/01/2019","16:21:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate",""," 3 ",20,150
"10",2,"02/01/2019","16:21:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium","Dinoflagellate",""," 2 ",20,100
"11",2,"02/01/2019","16:21:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate",""," 4 ",20,200
"12",2,"02/01/2019","16:21:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pseudo-nitzschia","Diatom",""," 3 ",20,150
"13",2,"02/01/2019","16:21:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dinophysis tripos","Dinoflagellate",""," 2 ",20,100
"14",2,"02/01/2019","16:21:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zygabikodinium","Dinoflagellate",""," 6 ",20,300
"15",2,"02/01/2019","16:21:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 6 ",20,300
"16",2,"02/01/2019","16:21:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhizosolenia","Diatom",""," 2 ",20,100
"17",2,"02/01/2019","16:21:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 5 ",20,250
"18",3,"03/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chaetoceros","Diatom",""," 3 ",20,150
"19",3,"03/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zygabikodinium","Dinoflagellate",""," 1 ",20,50
"20",3,"03/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhizosolenia","Diatom",""," 1 ",20,50
"21",3,"03/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 2 ",20,100
"22",3,"03/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate",""," 1 ",20,50
"23",3,"03/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate",""," 1 ",20,50
"24",4,"04/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 2 ",20,100
"25",4,"04/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chaetoceros","Diatom",""," 1 ",20,50
"26",4,"04/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate",""," 3 ",20,150
"27",4,"04/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 3 ",20,150
"28",4,"04/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate",""," 2 ",20,100
"29",5,"07/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium diabolum","Dinoflagellate",""," 1 ",20,50
"30",5,"07/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rhizosolenia","Diatom",""," 1 ",20,50
"31",5,"07/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gonyaulax polygramma","Dinoflagellate",""," 1 ",20,50
"32",5,"07/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium fusus","Dinoflagellate",""," 2 ",20,100
"33",5,"07/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Protoperidinium conicum","Dinoflagellate",""," 4 ",20,200
"34",5,"07/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceratium furca","Dinoflagellate",""," 2 ",20,100
"35",5,"07/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pseudo-nitzschia","Diatom",""," 1 ",20,50
"36",5,"07/01/2019","08:00:00","Lorna","Primary sump","",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chaetoceros","Diatom",""," 5 ",20,250
