Sample,Date,Time,Counted by,Site,DO (mg/L),Saturation (%),Temperature (?C),N,NH3-N,NH4-N,pH,NO2,PO4,
59,11/02/2019,20:48:00,Pertunia,After Drumfilter,,,,,,,,,,
62,11/02/2019,22:26:00,Pertunia,After Drumfilter,,,,,,,,,,
65,12/02/2019,08:30:00,Pertunia,After Drumfilter,9.23,,11.2,,,,,,,
67,12/02/2019,10:30:00,Pertunia,After Drumfilter,,,,,,,,,,
69,12/02/2019,11:00:00,Pertunia,After Drumfilter,,,,,,,,,,
71,12/02/2019,11:00:00,Pertunia,After Drumfilter,,,,,,,,,,
74,12/02/2019,12:00:00,Pertunia,After Drumfilter,8.44,,14.7,,,,,,,
76,12/02/2019,18:30:00,Pertunia,After Drumfilter,8.62,87,15.2,,,,,,,
82,12/02/2019,19:45:00,Pertunia,After Drumfilter,,,,,,,,,,
85,12/02/2019,22:40:00,Share',After Drumfilter,,,,,,,,,,
87,13/02/2019,00:04:00,Share',After Drumfilter,,,,,,,,,,
89,13/02/2019,02:52:00,Share',After Drumfilter,,,,,,,,,,
91,13/02/2019,06:45:00,Werner,After Drumfilter,,,,,,,,,,
93,13/02/2019,09:31:00,Pertunia,After Drumfilter,8.18,75.5,13.5,,,,,,,
96,13/02/2019,10:50:00,Pertunia,After Drumfilter,,,,,,,,,,
105,13/02/2019,16:51:00,Lorna,After Drumfilter,9.16,95.5,15.6,,,,,,,
112,13/02/2019,22:50:00,Pertunia,After Drumfilter,,,,,,,,,,
118,14/02/2019,00:05:00,Pertunia,After Drumfilter,8.33,86.9,13.8,,,,,,,
120,14/02/2019,02:58:00,Pertunia,After Drumfilter,9.43,80.9,13.1,,,,,,,
121,14/02/2019,04:28:00,Pertunia,After Drumfilter,10.2,99.8,12.9,,,,,,,
124,14/02/2019,06:10:00,Pertunia,After Drumfilter,9.61,89.2,12.3,,,,,,,
126,14/02/2019,07:50:00,Lorna,After Drumfilter,9.53,86.6,11.9,,,,,,,
130,14/02/2019,10:06:00,Lorna,After Drumfilter,9.25,760,12.6,,,,,,,
132,14/02/2019,11:04:00,Lorna,After Drumfilter,8.88,83.9,12.3,,,,,,,
134,14/02/2019,12:04:00,Lorna,After Drumfilter,8.08,76.1,13.3,,,,,,,
136,14/02/2019,13:05:00,Lorna,After Drumfilter,8.69,80,13.5,,,,,,,
138,14/02/2019,14:22:00,Lorna,After Drumfilter,8.99,81.1,13.4,,,,,,,
140,14/02/2019,15:30:00,Lorna,After Drumfilter,8.3,81.2,12.1,,,,,,,
141,14/02/2019,16:30:00,Lorna,After Drumfilter,8.3,81.2,12.1,,,,,,,
143,14/02/2019,18:20:00,Pertunia,After Drumfilter,7.96,75.2,12.4,,,,,,,
145,14/02/2019,19:55:00,Pertunia,After Drumfilter,8.41,84.5,12.8,,,,,,,
147,14/02/2019,21:00:00,Pertunia,After Drumfilter,8.43,79.4,12.6,,,,,,,
149,15/02/2019,00:05:00,Pertunia,After Drumfilter,8.1,76.2,12.4,,,,,,,
151,15/02/2019,02:19:00,Pertunia,After Drumfilter,8.53,80.8,12.7,,,,,,,
153,15/02/2019,04:36:00,Pertunia,After Drumfilter,8.2,77.2,11.8,,,,,,,
156,15/02/2019,10:01:00,Ruan,After Drumfilter,8.95,74.1,11.1,,,,,,,
158,15/02/2019,11:07:00,Ruan,After Drumfilter,8.82,81.7,12.1,,,,,,,
159,15/02/2019,11:10:00,Ruan,After Drumfilter,8.82,81.7,12.1,,,,,,,
161,15/02/2019,12:15:00,Ruan,After Drumfilter,9.24,83.4,10.8,,,,,,,
163,15/02/2019,13:00:00,Ruan,After Drumfilter,9.45,84.5,10.8,,,,,,,
165,16/02/2019,08:20:00,Pertunia,After Drumfilter,9.25,84.4,11.4,,,,,,,
167,17/02/2019,11:15:00,Sarah,After Drumfilter,10.5,98.9,14.2,,,,,,,
169,17/02/2019,12:44:00,Sarah,After Drumfilter,9.45,90.2,14.4,0.54,0.65,0.7,,,,
170,17/02/2019,15:00:00,Sarah,After Drumfilter,9,88.1,15,0.61,0.74,0.79,,,,
171,17/02/2019,18:00:00,Pertunia,After Drumfilter,8.99,89.1,15.1,0.24,0.29,0.31,8.12,,,
176,17/02/2019,20:38:00,Pertunia,After Drumfilter,,,,0.68,0.82,0.88,7.8,,,
179,17/02/2019,22:40:00,Pertunia,After Drumfilter,,,,,,,,,,
187,18/02/2019,01:00:00,Pertunia,After Drumfilter,9.55,92.4,15.6,,,,,,,
193,18/02/2019,02:00:00,Pertunia,After Drumfilter,8.13,79.6,14.7,,,,,,,
195,18/02/2019,03:00:00,Pertunia,After Drumfilter,,,,,,,,,,
197,18/02/2019,04:00:00,Pertunia,After Drumfilter,8.51,82.2,13.8,,,,,,,
199,18/02/2019,05:00:00,Pertunia,After Drumfilter,8.52,80.7,13.3,,,,,,,
201,18/02/2019,07:45:00,Sarah,After Drumfilter,8.97,86.5,13.6,,,,,,,
203,18/02/2019,09:50:00,Sarah,After Drumfilter,9.21,87.6,13.1,0.01,0.01,0.01,7.64,,,
205,18/02/2019,12:00:00,Sarah,After Drumfilter,9.8,84.2,13.2,,,,,,,
207,18/02/2019,14:00:00,Sarah,After Drumfilter,9.98,96.6,13.8,,,,,,,
209,18/02/2019,15:30:00,Sarah,After Drumfilter,9.44,88.4,14.4,,,,,,,
211,18/02/2019,16:15:00,Sarah,After Drumfilter,9.03,88.2,14.7,,,,,,,
213,18/02/2019,18:00:00,Pertunia,After Drumfilter,9.2,89.8,14.8,,,,,,,
215,18/02/2019,19:10:00,Pertunia,After Drumfilter,9.38,91.8,14.5,,,,,,,
217,18/02/2019,21:00:00,Pertunia,After Drumfilter,8.3,80.6,14.2,0.6,0.73,0.77,7.82,,,
222,19/02/2019,00:05:00,Sarah,After Drumfilter,8.79,83.5,13.8,,,,,,,
224,19/02/2019,02:00:00,Sarah,After Drumfilter,8.57,88,13.1,0,0,0,7.15,,,
227,19/02/2019,04:00:00,Sarah,After Drumfilter,8.48,78.3,12.6,,,,,,,
229,19/02/2019,07:44:00,Lorna,After Drumfilter,8.3,96.4,11.8,,,,,,,
231,19/02/2019,09:50:00,Lorna,After Drumfilter,9.58,84.3,11.2,,,,,,,
233,19/02/2019,11:16:00,Lorna,After Drumfilter,8..69,77.9,112.6,,,,,,,
235,19/02/2019,12:06:00,Lorna,After Drumfilter,9.74,90.1,11.8,,,,,,,
237,19/02/2019,14:36:00,Lorna,After Drumfilter,9.45,92.4,13.6,,,,,,,
239,19/02/2019,15:36:00,Lorna,After Drumfilter,8.94,82.9,14.2,,,,,,,
241,19/02/2019,17:30:00,Sarah,After Drumfilter,9.22,91,14.6,,,,,,,
243,19/02/2019,19:00:00,Sarah,After Drumfilter,9.29,88.5,14.3,,,,,,,
245,19/02/2019,21:00:00,Sarah,After Drumfilter,9.02,77.8,14.2,,,,,,,
247,19/02/2019,23:00:00,Sarah,After Drumfilter,8.78,79.1,13.4,,,,,,,
249,20/02/2019,01:00:00,Sarah,After Drumfilter,8.9,78.1,12.1,,,,,,,
251,20/02/2019,03:00:00,Sarah,After Drumfilter,8.66,75.5,11.5,,,,,,,
253,20/02/2019,05:00:00,Sarah,After Drumfilter,8.89,77.5,12.1,,,,,,,
