RowCode,Date,Time,Counted by:,Site,Volume Filtered (ml),Frames counted,Volume counted,Volume.counted_all,Species,Cells Counted,Cells/L,SRC_method,Correct.Original,Div.Src.by.this
1,03/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,0.021,Chaetoceros sp.,2,19,476.1904762,476,25
2,03/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,0.021,Rhizosolenia sp.,3,29,714.2857143,714,25
3,03/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,0.021,Ceratium furca,7,67,1666.666667,1667,25
4,03/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,0.021,Ceratium tripos,2,19,476.1904762,476,25
5,03/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,0.021,Protoperidinium conicum,5,48,1190.47619,1190,25
6,03/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,0.021,Protoperidinium diabolum,5,48,1190.47619,1190,25
7,03/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,0.021,Prorocentrum sigmoides,2,19,476.1904762,476,25
8,03/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,0.021,Pyrophacus sp.,4,38,952.3809524,952,25
9,04/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,0.02,Pseudo-nitzschia australis,1,10,250,250,25
10,04/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,0.02,Chaetoceros sp.,1,10,250,250,25
11,04/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,0.02,Ceratium furca,8,80,2000,2000,25
12,04/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,0.02,Protoperidinium conicum,4,40,1000,1000,25
13,04/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,0.02,Protoperidinium diabolum,4,40,1000,1000,25
14,04/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,0.02,Pyrophacus sp.,4,40,1000,1000,25
15,04/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,0.02,Protoperidinium pellucidum,2,20,500,500,25
16,04/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,0.02,Protoperidinium oceanicum,3,30,750,750,25
17,05/01/2017,08:00,Lorna,Primary sump,5000,19,0.019,0.019,Chaetoceros sp.,1,11,263.1578947,263,25
18,05/01/2017,08:00,Lorna,Primary sump,5000,19,0.019,0.019,Ceratium furca,6,63,1578.947368,1579,25
19,05/01/2017,08:00,Lorna,Primary sump,5000,19,0.019,0.019,Ceratium tripos,2,21,526.3157895,526,25
20,05/01/2017,08:00,Lorna,Primary sump,5000,19,0.019,0.019,Gonyaulax polygramma,28,295,7368.421053,7368,25
21,05/01/2017,08:00,Lorna,Primary sump,5000,19,0.019,0.019,Protoperidinium conicum,7,74,1842.105263,1842,25
