Date,Time,Counted by,Site,Volume.Filtered.(ml),Frames.counted,CellsCounted,Cells/L,SRC_method
19/04/2019,15:30,Share,Primary sump,5000,20,0,0,0
29/01/2018,08:40,Nuette,Primary sump,4500,130,1,1.538461538,42.73504274
01/02/2018,14:00,Nuette,Primary sump,5000,90,1,2.222222222,55.55555556
01/02/2018,14:00,Nuette,Primary sump,5000,90,1,2.222222222,55.55555556
28/08/2019,14:00,Pertunia,Primary sump,5000,328,1,3.048780488,15.24390244
28/08/2019,14:00,Pertunia,Primary sump,5000,328,1,3.048780488,15.24390244
28/08/2019,14:00,Pertunia,Primary sump,5000,328,1,3.048780488,15.24390244
28/08/2019,14:00,Pertunia,Primary sump,5000,328,1,3.048780488,15.24390244
27/01/2018,08:00,Nuette,Primary sump,4000,65,1,3.076923077,96.15384615
27/01/2018,08:00,Nuette,Primary sump,4000,65,1,3.076923077,96.15384615
25/01/2018,08:00,Lorna,Primary sump,5000,50,1,4,100
25/01/2018,08:00,Lorna,Primary sump,5000,50,1,4,100
25/01/2018,08:00,Lorna,Primary sump,5000,50,1,4,100
26/01/2018,08:00,Nuette,Primary sump,5000,50,1,4,100
28/02/2018,08:00,Lorna,Primary sump,5000,50,1,4,100
31/01/2018,16:00,Lorna,Primary sump,5000,,1,4,
01/02/2018,07:30,Lorna,Primary sump,5000,,1,4,
01/02/2018,14:00,Lorna,Primary sump,5000,,1,4,
01/02/2018,14:00,Lorna,Primary sump,5000,,1,4,
02/02/2018,08:00,Lorna,Primary sump,5000,,1,4,
05/02/2018,14:00,Lorna,Primary sump,5000,,1,4,
05/02/2018,14:00,Lorna,Primary sump,5000,,1,4,
05/02/2018,14:00,Lorna,Primary sump,5000,,1,4,
05/02/2018,14:00,Lorna,Primary sump,5000,,1,4,
06/02/2018,08:00,Lorna,Primary sump,5000,,1,4,
06/02/2018,08:00,Lorna,Primary sump,5000,,1,4,
08/02/2018,08:00,Lorna,Primary sump,5000,,1,4,
09/02/2018,08:00,Lorna,Primary sump,5000,,1,4,
12/02/2018,08:00,Lorna,Primary sump,5000,,1,4,
12/02/2018,08:00,Lorna,Primary sump,5000,,1,4,
12/02/2018,08:00,Lorna,Primary sump,5000,,1,4,
12/02/2018,08:00,Lorna,Primary sump,5000,,1,4,
12/02/2018,08:00,Lorna,Primary sump,5000,,1,4,
13/02/2018,08:00,Lorna,Primary sump,5000,,1,4,
13/02/2018,08:00,Lorna,Primary sump,5000,,1,4,
14/02/2018,08:00,Lorna,Primary sump,5000,,1,4,
15/02/2018,08:00,Lorna,Primary sump,5000,,1,4,
19/02/2018,08:00,Lorna,Primary sump,5000,,1,4,
19/02/2018,08:00,Lorna,Primary sump,5000,,1,4,
26/01/2018,12:00,Nuette,Primary sump,5000,40,1,5,125
26/08/2019,08:00,Kabelo,Primary sump,5000,200,1,5,25
17/01/2017,08:00,Lorna,Primary sump,5000,24,1,8.333333333,208.3333333
17/01/2017,08:00,Lorna,Primary sump,5000,24,1,8.333333333,208.3333333
20/01/2017,08:00,Lorna,Primary sump,5000,24,1,8.333333333,208.3333333
20/01/2017,08:00,Lorna,Primary sump,5000,24,1,8.333333333,208.3333333
08/02/2017,08:00,Lorna,Primary sump,5000,24,1,8.333333333,208.3333333
20/02/2017,08:00,Lorna,Primary sump,5000,24,1,8.333333333,208.3333333
20/02/2017,08:00,Lorna,Primary sump,5000,24,1,8.333333333,208.3333333
09/01/2017,08:00,Lorna,Primary sump,5000,21,1,9.523809524,238.0952381
18/01/2017,08:00,Lorna,Primary sump,5000,21,1,9.523809524,238.0952381
21/02/2017,08:00,Lorna,Primary sump,5000,21,1,9.523809524,238.0952381
04/01/2017,08:00,Lorna,Primary sump,5000,20,1,10,250
04/01/2017,08:00,Lorna,Primary sump,5000,20,1,10,250
06/01/2017,08:00,Lorna,Primary sump,5000,20,1,10,250
30/01/2017,08:00,Lorna,Primary sump,5000,20,1,10,250
30/01/2017,08:00,Lorna,Primary sump,5000,20,1,10,250
06/02/2017,08:00,Lorna,Primary sump,5000,20,1,10,250
16/02/2017,08:00,Lorna,Primary sump,5000,20,1,10,250
16/02/2017,08:00,Lorna,Primary sump,5000,20,1,10,250
17/02/2017,08:00,Lorna,Primary sump,5000,20,1,10,250
17/02/2017,08:00,Lorna,Primary sump,5000,20,1,10,250
21/08/2019,08:00,Jan,Primary sump,5000,100,1,10,50
23/08/2019,08:00,Kabelo,Primary sump,5000,100,1,10,50
23/08/2019,08:00,Kabelo,Primary sump,5000,100,1,10,50
23/08/2019,08:00,Kabelo,Primary sump,5000,100,1,10,50
05/01/2017,08:00,Lorna,Primary sump,5000,19,1,10.52631579,263.1578947
05/01/2017,08:00,Lorna,Primary sump,5000,19,1,10.52631579,263.1578947
22/02/2017,08:00,Lorna,Primary sump,5000,19,1,10.52631579,263.1578947
22/02/2017,08:00,Lorna,Primary sump,5000,19,1,10.52631579,263.1578947
04/01/2018,10:30,Nuette,Primary sump,5000,15,1,13.33333333,333.3333333
05/01/2018,09:30,Nuette,Primary sump,5000,15,1,13.33333333,333.3333333
05/01/2018,09:30,Nuette,Primary sump,5000,15,1,13.33333333,333.3333333
08/02/2018,14:00,Nuette,Primary sump,5000,15,1,13.33333333,333.3333333
22/08/2019,08:00,Pertunia,Primary sump,5000,50,1,20,100
22/08/2019,08:00,Pertunia,Primary sump,5000,50,1,20,100
22/08/2019,08:00,Pertunia,Primary sump,5000,50,1,20,100
22/08/2019,08:00,Pertunia,Primary sump,5000,50,1,20,100
30/08/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
30/08/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
30/08/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
30/08/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
03/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
03/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
03/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
03/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
03/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
11/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
12/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
12/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
12/09/2019,08:00,Kabelo,Primary sump,5000,200,1,25,25
