Sample,Date,Time,Counted by,Site
1,02/01/2019,08:00,Lorna,Primary sump
2,02/01/2019,16:21,Lorna,Primary sump
3,03/01/2019,08:00,Lorna,Primary sump
4,04/01/2019,08:00,Lorna,Primary sump
5,07/01/2019,08:00,Lorna,Primary sump
6,08/01/2019,08:00,Lorna,Primary sump
7,09/01/2019,08:00,Lorna,Primary sump
8,10/01/2019,08:00,Lorna,Primary sump
9,11/01/2019,08:00,Lorna,Primary sump
10,11/01/2019,12:24,Lorna,Primary sump
11,14/01/2019,08:00,Lorna,Primary sump
12,15/01/2019,08:00,Lorna,Primary sump
13,16/01/2019,08:00,Lorna,Primary sump
14,17/01/2019,08:00,Lorna,Primary sump
15,18/01/2019,08:00,Lorna,Primary sump
16,21/01/2019,08:00,Lorna,Primary sump
17,22/01/2019,08:00,Pertunia,Primary sump
18,23/01/2019,08:00,Pertunia,Primary sump
19,24/01/2019,08:00,Pertunia,Primary sump
20,24/01/2019,15:09,Pertunia,Primary sump
21,25/01/2019,08:16,Pertunia,Primary sump
22,25/01/2019,10:41,Pertunia,Primary sump
23,25/01/2019,12:23,Pertunia,Primary sump
24,26/01/2019,08:36,Pertunia,Primary sump
25,26/01/2019,13:47,Pertunia,Primary sump
26,26/01/2019,16:52,Pertunia,Primary sump
27,27/01/2019,08:00,Pertunia,Primary sump
28,27/01/2019,14:00,Pertunia,Primary sump
29,27/01/2019,17:20,Pertunia,Primary sump
30,28/01/2019,08:00,Pertunia,Primary sump
31,29/01/2019,08:00,Pertunia,Primary sump
32,30/01/2019,08:00,Lorna,Primary sump
33,30/01/2019,15:44,Pertunia,Primary sump
34,31/01/2019,08:00,Pertunia,Primary sump
35,31/01/2019,13:30,Pertunia,Primary sump
36,31/01/2019,17:00,Pertunia,Primary sump
37,01/02/2019,08:00,Pertunia,Primary sump
38,01/02/2019,12:58,Pertunia,Primary sump
39,02/02/2019,08:00,Pertunia,Primary sump
40,02/02/2013,16:28,Pertunia,Primary sump
41,03/02/2019,08:23,Pertunia,Primary sump
42,03/02/2019,16:00,Pertunia,Primary sump
43,04/02/2019,08:00,Pertunia,Primary sump
44,04/02/2019,16:00,Pertunia,Primary sump
45,05/02/2019,08:00,Pertunia,Primary sump
46,05/02/2019,16:26,Pertunia,Primary sump
47,06/02/2019,08:20,Pertunia,Primary sump
48,06/02/2019,14:00,Pertunia,Primary sump
