Date,Time,Counted by:,Site,Volume Filtered (ml),Frames counted,Volume counted,Species, Cells Counted , Cells/L ,SRC_method
03/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Chaetoceros sp.,2,19,476.1904762
03/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Rhizosolenia sp.,3,29,714.2857143
03/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,7,67,1666.666667
03/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium tripos,2,19,476.1904762
03/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,5,48,1190.47619
03/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium diabolum,5,48,1190.47619
03/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protocentrum sigmoides,2,19,476.1904762
03/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Pyrophacus sp.,4,38,952.3809524
04/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,Pseudo-nitzschia australis,1,10,250
04/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,Chaetoceros sp.,1,10,250
04/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,Ceratium furca,8,80,2000
04/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,Protoperidinium conicum,4,40,1000
04/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,Protoperidinium diabolum,4,40,1000
04/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,Pyrophacus sp.,4,40,1000
04/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,Protoperidinium pellucidum,2,20,500
04/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,Protoperidinium oceanicum,3,30,750
05/01/2017,08:00,Lorna,Primary sump,5000,19,0.019,Chaetoceros sp.,1,11,263.1578947
05/01/2017,08:00,Lorna,Primary sump,5000,19,0.019,Ceratium furca,6,63,1578.947368
05/01/2017,08:00,Lorna,Primary sump,5000,19,0.019,Ceratium tripos,2,21,526.3157895
05/01/2017,08:00,Lorna,Primary sump,5000,19,0.019,Gonyaulax polygramma,28,295,7368.421053
05/01/2017,08:00,Lorna,Primary sump,5000,19,0.019,Protoperidinium conicum,7,74,1842.105263
05/01/2017,08:00,Lorna,Primary sump,5000,19,0.019,Protoperidinium diabolum,4,42,1052.631579
05/01/2017,08:00,Lorna,Primary sump,5000,19,0.019,Protocentrum sigmoides,1,11,263.1578947
06/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,Ceratium furca,4,40,1000
06/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,Gonyaulax polygramma,24,240,6000
06/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,Protoperidinium conicum,1,10,250
06/01/2017,08:00,Lorna,Primary sump,5000,20,0.02,Protoperidinium diabolum,2,20,500
09/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Chaetoceros sp.,2,19,476.1904762
09/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,4,38,952.3809524
09/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium tripos,4,38,952.3809524
09/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium conicum,7,67,1666.666667
09/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Protoperidinium diabolum,4,38,952.3809524
09/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Zygabikodinium lenticulatum,3,29,714.2857143
09/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Prorocentrum sigmoides,1,10,238.0952381
10/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Chaetoceros sp.,3,25,625
10/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Ceratium furca,3,25,625
10/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Ceratium tripos,2,17,416.6666667
10/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Gonyaulax polygramma,123,1025,25625
10/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium conicum,5,42,1041.666667
10/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Protoperidinium diabolum,2,17,416.6666667
10/01/2017,08:00,Lorna,Primary sump,5000,24,0.024,Zygabikodinium lenticulatum,4,33,833.3333333
11/01/2017,08:00,Lorna,Primary sump,5000,27,0.027,Chaetoceros sp.,3,22,555.5555556
11/01/2017,08:00,Lorna,Primary sump,5000,27,0.027,Ceratium furca,5,37,925.9259259
11/01/2017,08:00,Lorna,Primary sump,5000,27,0.027,Gonyaulax polygramma,44,326,8148.148148
11/01/2017,08:00,Lorna,Primary sump,5000,27,0.027,Protoperidinium conicum,5,37,925.9259259
11/01/2017,08:00,Lorna,Primary sump,5000,27,0.027,Protoperidinium diabolum,7,52,1296.296296
11/01/2017,08:00,Lorna,Primary sump,5000,27,0.027,Protoperidinium oceanicum,2,15,370.3703704
12/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Pseudo-nitzschia australis,7,67,1666.666667
12/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Alexandrium sp.,7,67,1666.666667
12/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium furca,21,200,5000
12/01/2017,08:00,Lorna,Primary sump,5000,21,0.021,Ceratium tripos,4,38,952.3809524
