Classification,Species,Spring 2018,Summer 2018/2019,Autumn 2019,Winter 2019,Spring 2019,Summer 2019 (December only)
Diatom,Asterionellopsis glacialis,0.0,0.2,0.0,0.9,9.9,2.7
Diatom,Bacillaria paxillifera,0.0,1.1,0.0,0.0,0.0,2.6
Diatom,Bacillaria sp.,0.0,0.0,0.8,4.3,1.4,1.7
Diatom,Biddulphia sp.,0.0,0.0,0.0,0.0,1.9,1.2
Diatom,Chaetoceros conyolutus,0.0,0.0,0.0,0.0,1.1,0.0
Diatom,Chaetoceros didymus,0.0,0.0,0.0,0.0,0.8,0.0
Diatom,Chaetoceros radicans,0.0,0.0,0.0,0.0,0.8,0.0
Diatom,Chaetoceros similis,0.0,0.9,0.0,0.0,0.7,0.0
Diatom,Chaetoceros sp.,17.4,1.3,0.4,7.2,9.1,3.0
Diatom,Coscinodiscus granii,0.0,0.7,0.6,10.9,6.8,10.9
Diatom,Coscinodiscus sp.,0.0,0.0,0.0,12.5,4.9,0.0
Diatom,Cylindrotheca closterium,0.0,0.0,0.0,0.0,1.0,0.0
Diatom,Ditylum bright-welli,2.4,0.5,0.2,3.2,1.3,0.0
Diatom,Eucampia sp.,0.0,0.0,0.0,0.5,2.9,1.1
Diatom,Fragilaria sp.,2.6,0.0,0.0,0.0,0.0,0.0
Diatom,Gomphonema sp.,1.1,0.0,0.0,0.0,0.0,0.0
Diatom,Guinardia sp.,0.0,0.0,0.0,0.0,1.4,0.0
Diatom,Gyrosigma sp.,0.0,0.0,0.0,0.0,0.6,0.0
Diatom,Licmophora sp.,0.0,0.6,0.3,1.2,2.3,24.2
Diatom,Melosira sp.,0.0,2.7,1.1,4.8,1.6,2.3
Diatom,Navicula sp.,7.2,0.0,0.6,1.5,1.8,7.1
Diatom,Nitzschia sp.,0.0,0.5,0.4,0.3,1.7,2.1
Diatom,Pleurosigma sp.,0.0,0.3,0.2,0.7,0.7,0.0
Diatom,Pseudo-nitzschia australis,8.9,0.5,0.4,1.1,2.8,0.0
Diatom,Pseudo-nitzschia sp.,0.0,0.5,0.8,0.0,1.9,1.5
Diatom,Rhizosolenia sp.,9.9,0.8,0.4,1.4,3.0,2.1
Diatom,Skeletonema costatum,0.0,0.0,0.0,2.4,1.8,1.8
Diatom,Skeletonema sp.,3.9,0.0,0.0,0.0,0.0,0.0
Diatom,Stephanopyxis sp.,0.0,0.0,0.0,0.0,0.3,0.0
Diatom,Thalassionema sp.,0.0,0.0,0.0,3.7,0.5,0.0
Diatom,Thalassiosira sp.,5.1,0.0,0.0,1.4,7.4,3.7
Diatom,Triceratium sp.,0.0,0.3,0.3,0.7,0.4,1.8
Dictyochophyceae,Dictyocha sp.,0.0,0.2,0.0,0.8,0.8,1.1
Dictyochophyceae,Octactis sp.,0.0,0.2,0.2,2.5,1.7,1.8
Dinoflagellate,Alexandrium sp.,0.0,8.4,0.0,0.0,0.9,0.0
Dinoflagellate,Amphidinium carterae,0.0,0.0,0.0,0.0,0.4,2.3
Dinoflagellate,Ceratium candelabrum,0.0,0.0,0.0,3.3,0.0,0.0
Dinoflagellate,Ceratium dens,0.0,0.3,0.3,0.8,0.0,0.0
Dinoflagellate,Ceratium furca,5.8,3.6,7.3,1.6,0.5,3.4
Dinoflagellate,Ceratium fusus,3.7,1.0,7.5,0.5,1.0,0.0
Dinoflagellate,Ceratium horridum,0.0,0.0,0.0,1.0,0.7,0.0
Dinoflagellate,Ceratium lineatum,0.0,0.0,0.4,0.0,0.5,1.1
Dinoflagellate,Ceratium sp.,1.1,1.3,0.0,0.0,0.0,0.0
Dinoflagellate,Ceratium tripos,0.0,0.2,0.4,1.7,0.0,0.0
Dinoflagellate,Dinophysis acuminata,0.0,0.3,0.3,1.1,0.6,0.0
Dinoflagellate,Dinophysis fortii,9.2,0.2,0.0,0.6,0.4,0.0
Dinoflagellate,Dinophysis rotundata,0.0,0.0,0.4,0.0,2.0,0.0
Dinoflagellate,Dinophysis tripos,0.0,0.4,0.2,0.0,0.0,0.0
Dinoflagellate,Goniodoma polyedricum,0.0,0.0,5.9,0.0,0.0,0.0
Dinoflagellate,Gonyaulax polygramma,0.8,24.6,5.6,0.2,0.6,1.8
Dinoflagellate,Karenia cristata,0.0,0.6,0.3,0.0,0.9,0.0
Dinoflagellate,Karenia sp.,0.0,1.0,0.0,0.0,0.0,0.0
Dinoflagellate,Lingulodinium polyedra,3.7,24.3,32.0,1.1,0.5,1.4
Dinoflagellate,Noctiluca scintillans,0.0,0.0,0.5,0.6,1.4,1.8
