Classification,Species,Spring 2018,Summer 2018/2019,Autumn 2019,Winter 2019,Spring 2019,Summer 2019 (December only)
Diatom,Asterionellopsis glacialis,0,0.22,0,0.86,9.9,2.74
Diatom,Bacillaria paxillifera,0,1.12,0,0,0,2.59
Diatom,Bacillaria sp.,0,0,0.77,4.33,1.42,1.7
Diatom,Biddulphia sp.,0,0,0,0,1.85,1.22
Diatom,Chaetoceros conyolutus,0,0,0,0,1.05,0
Diatom,Chaetoceros didymus,0,0,0,0,0.84,0
Diatom,Chaetoceros radicans,0,0,0,0,0.84,0
Diatom,Chaetoceros similis,0,0.89,0,0,0.73,0
Diatom,Chaetoceros sp.,17.42,1.34,0.37,7.16,9.13,2.95
Diatom,Coscinodiscus granii,0,0.74,0.56,10.91,6.75,10.89
Diatom,Coscinodiscus sp.,0,0,0,12.49,4.85,0
Diatom,Cylindrotheca closterium,0,0,0,0,1.03,0
Diatom,Ditylum bright-welli,2.35,0.54,0.21,3.24,1.27,0
Diatom,Eucampia sp.,0,0,0,0.46,2.93,1.06
Diatom,Fragilaria sp.,2.56,0,0,0,0,0
Diatom,Gomphonema sp.,1.14,0,0,0,0,0
Diatom,Guinardia sp.,0,0,0,0,1.38,0
Diatom,Gyrosigma sp.,0,0,0,0,0.61,0
Diatom,Licmophora sp.,0,0.58,0.33,1.2,2.27,24.15
Diatom,Melosira sp.,0,2.72,1.14,4.8,1.55,2.31
Diatom,Navicula sp.,7.2,0,0.63,1.45,1.75,7.09
Diatom,Nitzschia sp.,0,0.45,0.42,0.34,1.71,2.08
Diatom,Pleurosigma sp.,0,0.33,0.21,0.68,0.68,0
Diatom,Pseudo-nitzschia australis,8.85,0.52,0.42,1.05,2.79,0
Diatom,Pseudo-nitzschia sp.,0,0.54,0.84,0,1.92,1.47
Diatom,Rhizosolenia sp.,9.85,0.8,0.42,1.39,2.96,2.13
Diatom,Skeletonema costatum,0,0,0,2.42,1.76,1.8
Diatom,Skeletonema sp.,3.94,0,0,0,0,0
Diatom,Stephanopyxis sp.,0,0,0,0,0.34,0
Diatom,Thalassionema sp.,0,0,0,3.73,0.51,0
Diatom,Thalassiosira sp.,5.13,0,0,1.43,7.42,3.68
Diatom,Triceratium sp.,0,0.33,0.28,0.74,0.39,1.84
Dictyochophyceae,Dictyocha sp.,0,0.22,0,0.84,0.81,1.06
Dictyochophyceae,Octactis sp.,0,0.22,0.21,2.5,1.7,1.78
Dinoflagellate,Alexandrium sp.,0,8.37,0,0,0.94,0
Dinoflagellate,Amphidinium carterae,0,0,0,0,0.38,2.33
Dinoflagellate,Ceratium candelabrum,0,0,0,3.26,0,0
Dinoflagellate,Ceratium dens,0,0.32,0.33,0.76,0,0
Dinoflagellate,Ceratium furca,5.76,3.58,7.26,1.56,0.54,3.44
Dinoflagellate,Ceratium fusus,3.66,1.03,7.52,0.51,1,0
Dinoflagellate,Ceratium horridum,0,0,0,0.95,0.65,0
Dinoflagellate,Ceratium lineatum,0,0,0.42,0,0.46,1.06
Dinoflagellate,Ceratium sp.,1.06,1.32,0,0,0,0
Dinoflagellate,Ceratium tripos,0,0.22,0.42,1.72,0,0
Dinoflagellate,Dinophysis acuminata,0,0.33,0.31,1.14,0.57,0
Dinoflagellate,Dinophysis fortii,9.16,0.22,0,0.57,0.42,0
Dinoflagellate,Dinophysis rotundata,0,0,0.42,0,2.01,0
Dinoflagellate,Dinophysis tripos,0,0.42,0.21,0,0,0
Dinoflagellate,Goniodoma polyedricum,0,0,5.9,0,0,0
Dinoflagellate,Gonyaulax polygramma,0.82,24.63,5.62,0.21,0.64,1.79
Dinoflagellate,Karenia cristata,0,0.61,0.34,0,0.86,0
Dinoflagellate,Karenia sp.,0,1,0,0,0,0
Dinoflagellate,Lingulodinium polyedra,3.66,24.34,31.98,1.14,0.52,1.39
Dinoflagellate,Noctiluca scintillans,0,0,0.49,0.55,1.42,1.78
Dinoflagellate,Noctiluca sp.,2.01,0.79,0.21,0,0,0
Dinoflagellate,Prorocentrum gracile,0,0.22,1.31,1.14,0.45,2.13
Dinoflagellate,Prorocentrum lima,0,0,0,0,0.78,0
Dinoflagellate,Prorocentrum micans,0,2.36,19.63,1.62,1.24,0
Dinoflagellate,Prorocentrum minimum,0,0,2,13.28,1.09,1.65
Dinoflagellate,Prorocentrum sigmoides,5.49,0,0.53,1.45,0,0
Dinoflagellate,Protoperidinium bipes,0,0,0,0,0,1.16
Dinoflagellate,Protoperidinium claudicans,0,0,0,0,0.63,1.06
Dinoflagellate,Protoperidinium conicum,2.6,3.33,3.56,1.43,0.68,1.39
Dinoflagellate,Protoperidinium depressum,0,0.45,0.21,0.95,0.27,0
Dinoflagellate,Protoperidinium diabolum,3.66,1.81,0.73,0.95,0.81,3.36
Dinoflagellate,Protoperidinium divergens,0,1.42,1.91,0,1.94,2.71
Dinoflagellate,Protoperidinium minutum,0,0,0.42,1.14,1.15,0
Dinoflagellate,Protoperidinium oceanicum,0,9.21,0.77,0.95,0.52,0
Dinoflagellate,Protoperidinium steinii,0,0,0,0.57,0.42,0
Dinoflagellate,Pyrophacus sp.,3.66,0.45,0,0.7,0,0
Dinoflagellate,Scrippsiella sp.,0,0,0,0,1.46,2.17
Dinoflagellate,Scrippsiella trochoidea,0,0,0,0,0.85,0
Dinoflagellate,Zigabikodinium denticulatum,0,0.42,0,0.57,0,0
Dinoflagellate,Zigabikodinium sp.,0,0.54,0,0,0,0
