CodeCount,Date,Time,Counted by,Site,Species,Classification,CellsCounted,Cells/L
4915,09/04/2019,16:10,Pertunia,Primary sump,Ceratium furca,Dinoflagellate,23,5750
4916,09/04/2019,16:10,Pertunia,Primary sump,Ceratium fusus,Dinoflagellate,71,17750
4917,09/04/2019,16:10,Pertunia,Primary sump,Lingulodinium polyedra,Dinoflagellate,80,20000
4918,09/04/2019,16:10,Pertunia,Primary sump,Prorocentrum micans,Dinoflagellate,1,250
4919,09/04/2019,16:10,Pertunia,Primary sump,Protoperidinium conicum,Dinoflagellate,6,1500
4920,09/04/2019,16:10,Pertunia,Primary sump,Ceratium furca,Dinoflagellate,2,500
3911,11/03/2019,23:59,Pertunia,Primary sump,All species,Various,91,4550
3912,11/03/2019,23:59,Pertunia,After Drumfilter,All species,Various,71,3550
3982,20/03/2019,23:59,Pertunia,Primary sump,All species,Various,3260,163000
3983,20/03/2019,23:59,Pertunia,After Drumfilter,All species,Various,3360,168000
4107,25/03/2019,23:55,Pertunia,After Drumfilter,All species,Various,252,63000
4106,25/03/2019,23:45,Pertunia,Primary sump,All species,Various,470,117500
2336,13/02/2019,23:38,Pertunia,Settlement,Lingulodinium polyedra,Dinoflagellate,30,1500
2337,13/02/2019,23:38,Pertunia,Settlement,Gonyaulax polygramma,Dinoflagellate,4,200
2332,13/02/2019,23:28,Pertunia,Nursery,Lingulodinium polyedra,Dinoflagellate,45,2250
2333,13/02/2019,23:28,Pertunia,Nursery,Gonyaulax polygramma,Dinoflagellate,1,50
2334,13/02/2019,23:28,Pertunia,Nursery,Rhizosolenia sp.,Diatom,1,50
2335,13/02/2019,23:28,Pertunia,Nursery,Ceratium furca,Dinoflagellate,1,50
4237,26/03/2019,23:25,Pertunia,After Drumfilter,Cyst,Various,4,1000
4238,26/03/2019,23:25,Pertunia,After Drumfilter,Dinophysis acuminata,Dinoflagellate,1,250
4239,26/03/2019,23:25,Pertunia,After Drumfilter,Protoperidinium diabolum,Dinoflagellate,1,250
4240,26/03/2019,23:25,Pertunia,After Drumfilter,Protoperidinium divergens,Dinoflagellate,7,1750
4241,26/03/2019,23:25,Pertunia,After Drumfilter,Ceratium furca,Dinoflagellate,6,1500
4242,26/03/2019,23:25,Pertunia,After Drumfilter,Ceratium fusus,Dinoflagellate,5,1250
4243,26/03/2019,23:25,Pertunia,After Drumfilter,Karenia cristata,Dinoflagellate,2,500
4244,26/03/2019,23:25,Pertunia,After Drumfilter,Prorocentrum micans,Dinoflagellate,137,34250
4245,26/03/2019,23:25,Pertunia,After Drumfilter,Lingulodinium polyedra,Dinoflagellate,127,31750
4227,26/03/2019,23:20,Pertunia,Primary sump,Cyst,Various,2,500
4228,26/03/2019,23:20,Pertunia,Primary sump,Protoperidinium diabolum,Dinoflagellate,1,250
4229,26/03/2019,23:20,Pertunia,Primary sump,Protoperidinium divergens,Dinoflagellate,7,1750
4230,26/03/2019,23:20,Pertunia,Primary sump,Ceratium furca,Dinoflagellate,14,3500
4231,26/03/2019,23:20,Pertunia,Primary sump,Ceratium fusus,Dinoflagellate,11,2750
4232,26/03/2019,23:20,Pertunia,Primary sump,Karenia cristata,Dinoflagellate,1,250
4233,26/03/2019,23:20,Pertunia,Primary sump,Prorocentrum micans,Dinoflagellate,159,39750
4234,26/03/2019,23:20,Pertunia,Primary sump,Protoperidinium minutum,Dinoflagellate,2,500
4235,26/03/2019,23:20,Pertunia,Primary sump,Lingulodinium polyedra,Dinoflagellate,168,42000
4236,26/03/2019,23:20,Pertunia,Primary sump,Gonyaulax polygramma,Dinoflagellate,7,1750
2329,13/02/2019,23:18,Pertunia,Broodstock,Lingulodinium polyedra,Dinoflagellate,9,450
2330,13/02/2019,23:18,Pertunia,Broodstock,Gonyaulax polygramma,Dinoflagellate,22,1100
2331,13/02/2019,23:18,Pertunia,Broodstock,Ceratium furca,Dinoflagellate,2,100
2504,17/02/2019,23:12,Pertunia,Amaza 5 settlement,Scrippsiella trochoidea,Dinoflagellate,3,150
2325,13/02/2019,23:08,Pertunia,Hatchery,Lingulodinium polyedra,Dinoflagellate,15,750
2326,13/02/2019,23:08,Pertunia,Hatchery,Ceratium furca,Dinoflagellate,4,200
2327,13/02/2019,23:08,Pertunia,Hatchery,Gonyaulax polygramma,Dinoflagellate,2,100
2328,13/02/2019,23:08,Pertunia,Hatchery,Ditylum bright-welli,Diatom,1,50
2503,17/02/2019,23:08,Pertunia,Amaza 5 settlement,Gonyaulax polygramma,Dinoflagellate,19,950
2502,17/02/2019,23:01,Pertunia,Amaza 5 settlement,Lingulodinium polyedra,Dinoflagellate,123,6150
