"","RowCode","Date","Time","Counted.by.","Site","Volume.Filtered..ml.","Frames.counted","Volume.counted","Volume.counted_all","Species","Cells.Counted","Cells.L","SRC_method","Correct.Original","Div.Src.by.this","Classification","dateTime","months","month","year","Season","YEarMonth","SeasonOrder","totalCells","RedTide","FWC_mod"
"1",1,2017-01-03,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Chaetoceros sp.","2",19,476.1904762,476,"25","Diatom",2017-01-03 08:00:00,"January",1,"2017","Summer",Jan 2017,1,892.625,"None detected","Normal"
"2",2,2017-01-03,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Rhizosolenia sp.","3",29,714.2857143,714,"25","Diatom",2017-01-03 08:00:00,"January",1,"2017","Summer",Jan 2017,1,892.625,"None detected","Normal"
"3",3,2017-01-03,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Ceratium furca","7",67,1666.666667,1667,"25","Dinoflagellate",2017-01-03 08:00:00,"January",1,"2017","Summer",Jan 2017,1,892.625,"None detected","Normal"
"4",4,2017-01-03,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Ceratium tripos","2",19,476.1904762,476,"25","Dinoflagellate",2017-01-03 08:00:00,"January",1,"2017","Summer",Jan 2017,1,892.625,"None detected","Normal"
"5",5,2017-01-03,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Protoperidinium conicum","5",48,1190.47619,1190,"25","Dinoflagellate",2017-01-03 08:00:00,"January",1,"2017","Summer",Jan 2017,1,892.625,"None detected","Normal"
"6",6,2017-01-03,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Protoperidinium diabolum","5",48,1190.47619,1190,"25","Dinoflagellate",2017-01-03 08:00:00,"January",1,"2017","Summer",Jan 2017,1,892.625,"None detected","Normal"
"7",7,2017-01-03,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Prorocentrum sigmoides","2",19,476.1904762,476,"25","Dinoflagellate",2017-01-03 08:00:00,"January",1,"2017","Summer",Jan 2017,1,892.625,"None detected","Normal"
"8",8,2017-01-03,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Pyrophacus sp.","4",38,952.3809524,952,"25","Dinoflagellate",2017-01-03 08:00:00,"January",1,"2017","Summer",Jan 2017,1,892.625,"None detected","Normal"
"9",9,2017-01-04,"08:00","Lorna","Primary sump",5000,20,0.02,0.02,"Pseudo-nitzschia australis","1",10,250,250,"25","Diatom",2017-01-04 08:00:00,"January",1,"2017","Summer",Jan 2017,1,843.75,"None detected","Normal"
"10",10,2017-01-04,"08:00","Lorna","Primary sump",5000,20,0.02,0.02,"Chaetoceros sp.","1",10,250,250,"25","Diatom",2017-01-04 08:00:00,"January",1,"2017","Summer",Jan 2017,1,843.75,"None detected","Normal"
"11",11,2017-01-04,"08:00","Lorna","Primary sump",5000,20,0.02,0.02,"Ceratium furca","8",80,2000,2000,"25","Dinoflagellate",2017-01-04 08:00:00,"January",1,"2017","Summer",Jan 2017,1,843.75,"None detected","Normal"
"12",12,2017-01-04,"08:00","Lorna","Primary sump",5000,20,0.02,0.02,"Protoperidinium conicum","4",40,1000,1000,"25","Dinoflagellate",2017-01-04 08:00:00,"January",1,"2017","Summer",Jan 2017,1,843.75,"None detected","Normal"
"13",13,2017-01-04,"08:00","Lorna","Primary sump",5000,20,0.02,0.02,"Protoperidinium diabolum","4",40,1000,1000,"25","Dinoflagellate",2017-01-04 08:00:00,"January",1,"2017","Summer",Jan 2017,1,843.75,"None detected","Normal"
"14",14,2017-01-04,"08:00","Lorna","Primary sump",5000,20,0.02,0.02,"Pyrophacus sp.","4",40,1000,1000,"25","Dinoflagellate",2017-01-04 08:00:00,"January",1,"2017","Summer",Jan 2017,1,843.75,"None detected","Normal"
"15",15,2017-01-04,"08:00","Lorna","Primary sump",5000,20,0.02,0.02,"Protoperidinium pellucidum","2",20,500,500,"25","Dinoflagellate",2017-01-04 08:00:00,"January",1,"2017","Summer",Jan 2017,1,843.75,"None detected","Normal"
"16",16,2017-01-04,"08:00","Lorna","Primary sump",5000,20,0.02,0.02,"Protoperidinium oceanicum","3",30,750,750,"25","Dinoflagellate",2017-01-04 08:00:00,"January",1,"2017","Summer",Jan 2017,1,843.75,"None detected","Normal"
"17",17,2017-01-05,"08:00","Lorna","Primary sump",5000,19,0.019,0.019,"Chaetoceros sp.","1",11,263.1578947,263,"25","Diatom",2017-01-05 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1842,"Very Low (A)","Very Low"
"18",18,2017-01-05,"08:00","Lorna","Primary sump",5000,19,0.019,0.019,"Ceratium furca","6",63,1578.947368,1579,"25","Dinoflagellate",2017-01-05 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1842,"Very Low (A)","Very Low"
"19",19,2017-01-05,"08:00","Lorna","Primary sump",5000,19,0.019,0.019,"Ceratium tripos","2",21,526.3157895,526,"25","Dinoflagellate",2017-01-05 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1842,"Very Low (A)","Very Low"
"20",20,2017-01-05,"08:00","Lorna","Primary sump",5000,19,0.019,0.019,"Gonyaulax polygramma","28",295,7368.421053,7368,"25","Dinoflagellate",2017-01-05 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1842,"Very Low (A)","Very Low"
"21",21,2017-01-05,"08:00","Lorna","Primary sump",5000,19,0.019,0.019,"Protoperidinium conicum","7",74,1842.105263,1842,"25","Dinoflagellate",2017-01-05 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1842,"Very Low (A)","Very Low"
"22",22,2017-01-05,"08:00","Lorna","Primary sump",5000,19,0.019,0.019,"Protoperidinium diabolum","4",42,1052.631579,1053,"25","Dinoflagellate",2017-01-05 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1842,"Very Low (A)","Very Low"
"23",23,2017-01-05,"08:00","Lorna","Primary sump",5000,19,0.019,0.019,"Prorocentrum sigmoides","1",11,263.1578947,263,"25","Dinoflagellate",2017-01-05 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1842,"Very Low (A)","Very Low"
"24",24,2017-01-06,"08:00","Lorna","Primary sump",5000,20,0.02,0.02,"Ceratium furca","4",40,1000,1000,"25","Dinoflagellate",2017-01-06 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1937.5,"Very Low (A)","Very Low"
"25",25,2017-01-06,"08:00","Lorna","Primary sump",5000,20,0.02,0.02,"Gonyaulax polygramma","24",240,6000,6000,"25","Dinoflagellate",2017-01-06 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1937.5,"Very Low (A)","Very Low"
"26",26,2017-01-06,"08:00","Lorna","Primary sump",5000,20,0.02,0.02,"Protoperidinium conicum","1",10,250,250,"25","Dinoflagellate",2017-01-06 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1937.5,"Very Low (A)","Very Low"
"27",27,2017-01-06,"08:00","Lorna","Primary sump",5000,20,0.02,0.02,"Protoperidinium diabolum","2",20,500,500,"25","Dinoflagellate",2017-01-06 08:00:00,"January",1,"2017","Summer",Jan 2017,1,1937.5,"Very Low (A)","Very Low"
"28",28,2017-01-09,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Chaetoceros sp.","2",19,476.1904762,476,"25","Diatom",2017-01-09 08:00:00,"January",1,"2017","Summer",Jan 2017,1,850.142857142857,"None detected","Normal"
"29",29,2017-01-09,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Ceratium furca","4",38,952.3809524,952,"25","Dinoflagellate",2017-01-09 08:00:00,"January",1,"2017","Summer",Jan 2017,1,850.142857142857,"None detected","Normal"
"30",30,2017-01-09,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Ceratium tripos","4",38,952.3809524,952,"25","Dinoflagellate",2017-01-09 08:00:00,"January",1,"2017","Summer",Jan 2017,1,850.142857142857,"None detected","Normal"
"31",31,2017-01-09,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Protoperidinium conicum","7",67,1666.666667,1667,"25","Dinoflagellate",2017-01-09 08:00:00,"January",1,"2017","Summer",Jan 2017,1,850.142857142857,"None detected","Normal"
"32",32,2017-01-09,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Protoperidinium diabolum","4",38,952.3809524,952,"25","Dinoflagellate",2017-01-09 08:00:00,"January",1,"2017","Summer",Jan 2017,1,850.142857142857,"None detected","Normal"
"33",33,2017-01-09,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Zigabikodinium denticulatum","3",29,714.2857143,714,"25","Dinoflagellate",2017-01-09 08:00:00,"January",1,"2017","Summer",Jan 2017,1,850.142857142857,"None detected","Normal"
"34",34,2017-01-09,"08:00","Lorna","Primary sump",5000,21,0.021,0.021,"Prorocentrum sigmoides","1",10,238.0952381,238,"25","Dinoflagellate",2017-01-09 08:00:00,"January",1,"2017","Summer",Jan 2017,1,850.142857142857,"None detected","Normal"
"35",35,2017-01-10,"08:00","Lorna","Primary sump",5000,24,0.024,0.024,"Chaetoceros sp.","3",25,625,625,"25","Diatom",2017-01-10 08:00:00,"January",1,"2017","Summer",Jan 2017,1,4226.28571428571,"Very Low (A)","Very Low"
